local_ts,breathing_rate,breathing_signal,accel_x,accel_y,accel_z,bs_timestamp,rs_ts,activity_level,current_exercise,pred_exercise
1584104887623,NaN,-0.056726187,-0.09301758,-0.8378906,0.52783203,1584104886251,-1139711512349,0.13171245,4,1
1584104887626,NaN,-0.0077152974,-0.106933594,-0.8317871,0.54418945,1584104886331,-1139711512349,0.13171245,4,1
1584104887632,NaN,0.08303491,-0.053955078,-0.83447266,0.5283203,1584104886411,-1139711512349,0.13171245,4,1
1584104887636,NaN,0.154002,-0.0703125,-0.8486328,0.5234375,1584104886491,-1139711512349,0.13171245,4,1
1584104887639,NaN,0.25208455,-0.06298828,-0.8371582,0.5373535,1584104886571,-1139711512349,0.13171245,4,1
1584104887642,NaN,0.35848293,-0.076416016,-0.8322754,0.51586914,1584104886651,-1139711512349,0.13171245,4,1
1584104887645,NaN,0.45856652,-0.11352539,-0.845459,0.5126953,1584104886731,-1139711512349,0.13171245,4,1
1584104887650,NaN,0.534568,-0.107421875,-0.84765625,0.50341797,1584104886811,-1139711512349,0.13171245,4,1
1584104887653,NaN,0.5137185,-0.099609375,-0.84765625,0.49682617,1584104886891,-1139711512349,0.13171245,4,1
1584104887656,NaN,0.45242772,-0.095947266,-0.8383789,0.513916,1584104886971,-1139711512349,0.13171245,4,1
1584104887661,NaN,0.3932662,-0.09033203,-0.83935547,0.5048828,1584104887051,-1139711512349,0.13171245,4,1
1584104887664,NaN,0.4113908,-0.087402344,-0.8408203,0.5058594,1584104887131,-1139711512349,0.13171245,4,1
1584104887667,NaN,0.37920627,-0.088378906,-0.84399414,0.5227051,1584104887211,-1139711512349,0.13171245,4,1
1584104887670,NaN,0.36417642,-0.07714844,-0.8232422,0.54467773,1584104887291,-1139711512349,0.13171245,4,1
1584104887674,NaN,0.27849215,-0.08691406,-0.82250977,0.55029297,1584104887371,-1139711512349,0.13171245,4,1
1584104887676,NaN,0.19969185,-0.08862305,-0.81811523,0.53686523,1584104887451,-1139711512349,0.13171245,4,1
1584104887679,NaN,0.11663977,-0.1015625,-0.8239746,0.55371094,1584104887531,-1139711512349,0.13171245,4,1
1584104887684,NaN,0.021175636,-0.11010742,-0.82714844,0.5510254,1584104887611,-1139711512349,0.13171245,4,1
1584104887685,NaN,-0.05509257,-0.08666992,-0.8186035,0.548584,1584104887691,-1139711512349,0.13171245,4,1
1584104887688,NaN,-0.13619159,-0.10888672,-0.82714844,0.53759766,1584104887771,-1139711512349,0.13171245,4,1
1584104890152,NaN,-0.18099739,-0.0925293,-0.829834,0.5371094,1584104887851,-7336101649657,0.13171245,4,1
1584104890157,NaN,-0.19398241,-0.08105469,-0.8249512,0.5373535,1584104887931,-7336101649657,0.13171245,4,1
1584104890163,NaN,-0.20642193,-0.0690918,-0.83691406,0.5461426,1584104888011,-7336101649657,0.13171245,4,1
1584104890171,NaN,-0.26841804,-0.06713867,-0.82250977,0.5505371,1584104888091,-7336101649657,0.13171245,4,1
1584104890176,NaN,-0.29919705,-0.07421875,-0.8251953,0.55200195,1584104888171,-7336101649657,0.13171245,4,1
1584104890180,NaN,-0.31725284,-0.075683594,-0.8054199,0.5539551,1584104888251,-7336101649657,0.13171245,4,1
1584104890183,NaN,-0.29667297,-0.10180664,-0.8190918,0.55444336,1584104888331,-7336101649657,0.13171245,4,1
1584104890187,NaN,-0.30992624,-0.09765625,-0.81152344,0.59155273,1584104888411,-7336101649657,0.13171245,4,1
1584104890190,NaN,-0.30916667,-0.09106445,-0.7976074,0.5812988,1584104888491,-7336101649657,0.06461614,4,1
1584104890193,NaN,-0.31074464,-0.10986328,-0.7919922,0.5827637,1584104888571,-7336101649657,0.06461614,4,1
1584104890197,NaN,-0.31718993,-0.13061523,-0.80444336,0.5722656,1584104888651,-7336101649657,0.058370546,4,1
1584104890201,NaN,-0.30131677,-0.12646484,-0.8256836,0.55371094,1584104888731,-7336101649657,0.05536935,4,1
1584104890204,NaN,-0.30034584,-0.12719727,-0.80371094,0.5515137,1584104888811,-7336101649657,0.05536935,4,1
1584104890206,NaN,-0.30620253,-0.1105957,-0.814209,0.5522461,1584104888891,-7336101649657,0.05536935,4,1
1584104890210,NaN,-0.29626676,-0.08666992,-0.82373047,0.54711914,1584104888971,-7336101649657,0.039509315,4,1
1584104890213,NaN,-0.25062218,-0.041748047,-0.81689453,0.5354004,1584104889051,-7336101649657,0.046925835,4,1
1584104890217,NaN,-0.22103685,-0.06933594,-0.81884766,0.5397949,1584104889131,-7336101649657,0.046925835,4,1
1584104890220,NaN,-0.20811135,-0.099121094,-0.80908203,0.54711914,1584104889211,-7336101649657,0.046925835,4,1
1584104890223,NaN,-0.21666853,-0.10839844,-0.8063965,0.56884766,1584104889291,-7336101649657,0.046925835,4,1
1584104890227,NaN,-0.16387658,-0.10083008,-0.80566406,0.56640625,1584104889371,-7336101649657,0.046925835,4,1
1584104890230,NaN,-0.124312185,-0.09301758,-0.8120117,0.5710449,1584104889451,-7336101649657,0.046925835,4,1
1584104890234,NaN,-0.07227838,-0.104003906,-0.8149414,0.57788086,1584104889531,-7336101649657,0.046925835,4,1
1584104890237,NaN,-0.02641051,-0.091796875,-0.8100586,0.5749512,1584104889611,-7336101649657,0.046925835,4,1
1584104890240,NaN,-0.043907676,-0.118652344,-0.7949219,0.58691406,1584104889691,-7336101649657,0.046925835,4,1
1584104890243,NaN,-0.042131517,-0.11645508,-0.7766113,0.5822754,1584104889771,-7336101649657,0.046925835,4,1
1584104890248,NaN,-0.053717267,-0.103515625,-0.78125,0.58496094,1584104889851,-7336101649657,0.046925835,4,1
1584104890250,NaN,-0.09606782,-0.10180664,-0.7854004,0.59716797,1584104889931,-7336101649657,0.046925835,4,1
1584104890254,NaN,-0.17436713,-0.099121094,-0.7861328,0.5878906,1584104890011,-7336101649657,0.046925835,4,1
1584104890258,NaN,-0.22634645,-0.09448242,-0.7993164,0.5866699,1584104890091,-7336101649657,0.046925835,4,1
1584104890263,NaN,-0.2462718,-0.08081055,-0.8041992,0.58496094,1584104890171,-7336101649657,0.046925835,4,1
1584104890267,NaN,-0.20512564,-0.06640625,-0.8129883,0.55444336,1584104890251,-7336101649657,0.046925835,4,1
1584104890270,NaN,-0.21397354,-0.11816406,-0.8171387,0.5620117,1584104890331,-7336101649657,0.052472632,4,1
1584104892736,NaN,-0.26634607,-0.15917969,-0.8005371,0.59521484,1584104890411,4914252286743,0.05532035,4,1
1584104892743,NaN,-0.27586788,-0.12646484,-0.81518555,0.5578613,1584104890491,4914252286743,0.05532035,4,1
1584104892751,NaN,-0.2753146,-0.122558594,-0.81225586,0.5422363,1584104890571,4914252286743,0.05532035,4,1
1584104892757,NaN,-0.18878464,-0.12207031,-0.8342285,0.5307617,1584104890651,4914252286743,0.05532035,4,1
1584104892762,NaN,-0.11850279,-0.12182617,-0.8239746,0.5510254,1584104890731,4914252286743,0.05532035,4,1
1584104892766,NaN,-0.03146908,-0.099121094,-0.8261719,0.53759766,1584104890811,4914252286743,0.05532035,4,1
